conv_layers,conv_filters,dense_layers,dense_neurons,dropout_rate_dense,learning_rate,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
7.0,8.0,3.0,9.0,0.37584157406839064,2.8884891514503978e-05,871.799180528993,0.6900673919253879,0.5166666706403097,0.676441322432624,0.7087586104869843,0.51875,0.6671823740005494
7.0,55.0,4.0,70.0,0.09286538791592995,0.0037975338397929327,408.07793667400256,7.879938591851128,0.5111111111111111,0.676441322432624,0.14123953357338906,0.953515625,0.6689980804920197
4.0,83.0,3.0,68.0,0.5859847243245712,0.00523040699567112,753.7161300029838,4.962726031409369,0.5250000105963812,0.676441322432624,0.9635418951511383,0.564453125,0.6647375524044037
6.0,99.0,5.0,65.0,0.6312192572979944,1.7120623778250114e-05,524.8245344250172,0.6941119405958388,0.4972222261958652,0.676441322432624,1.6742652654647827,0.513671875,0.6702750623226166
5.0,27.0,2.0,17.0,0.6334136797360034,0.0001245625825975291,2911.72110071301,0.24480614364147185,0.9388888941870795,0.676441322432624,0.26792160123586656,0.934765625,0.6710281252861023
6.0,109.0,2.0,76.0,0.01725634017562111,0.001287631626213324,1168.7860576949897,1.7963936434851753,0.675000011920929,0.676441322432624,0.057838174141943456,0.97890625,0.6643938362598419
8.0,120.0,2.0,59.0,0.7119000557905242,0.0033092508311374966,609.4487114530057,8.0047471470303,0.4888888888888889,0.676441322432624,0.7006809771060943,0.537890625,0.6598942875862122
4.0,110.0,3.0,11.0,0.8646898230617458,5.495944281236421e-05,648.9907555920072,0.704818688498603,0.5388888862397936,0.676441322432624,1.0371535778045655,0.509765625,0.6681360900402069
5.0,63.0,4.0,71.0,0.039100510718791816,5.258236165051093e-05,1838.7910379639943,0.2513716499010722,0.9222222407658894,0.676441322432624,0.001045825274195522,1.0,0.6697217226028442
7.0,57.0,1.0,16.0,0.8894093006895898,0.0006654389367986832,1468.0245846580074,0.38649275302886965,0.8194444497426351,0.676441322432624,0.31373767256736756,0.835546875,0.6602325320243836
7.0,56.0,3.0,50.0,0.8021109266377368,7.399736043223008e-06,912.2007309050241,0.6996700565020243,0.5111111111111111,0.676441322432624,2.92570424079895,0.48984375,0.667174506187439
6.0,53.0,3.0,65.0,0.6068860752776271,0.0003336786467738786,1377.294982728985,0.7243703007698059,0.5722222341431512,0.676441322432624,0.4469455122947693,0.775,0.6609606802463531
7.0,38.0,3.0,48.0,0.13355786790080668,1.3400325874102983e-05,1042.9663716299983,0.7038490825229221,0.4888888888888889,0.676441322432624,0.6986188590526581,0.558984375,0.6650435447692871
7.0,93.0,3.0,12.0,0.8108705911538789,9.750469152187906e-05,1233.7897908730083,0.6924793269899157,0.5638888902134366,0.676441322432624,0.7128372132778168,0.503515625,0.6661307036876678
6.0,54.0,3.0,11.0,0.38221379017108814,0.00025559415565624835,1250.6002280350076,0.6926114413473341,0.5055555661519369,0.676441322432624,0.6587968468666077,0.582421875,0.6689679861068726
5.0,26.0,1.0,39.0,0.5409535625212827,6.32929085681671e-05,1382.3278220560169,0.6792642421192593,0.550000011920929,0.676441322432624,0.48170056045055387,0.769140625,0.6644096612930298
8.0,103.0,2.0,75.0,0.12735327470208846,7.949193359112326e-05,1419.370775323012,0.700401673052046,0.49166666666666664,0.676441322432624,0.34764738082885743,0.869921875,0.6641042113304139
5.0,44.0,5.0,42.0,0.3617903036433088,0.000215283186115698,2093.660014479974,0.7919768108261956,0.6388888928625319,0.676441322432624,0.2781768798828125,0.969140625,0.6647605895996094
5.0,93.0,4.0,5.0,0.26670172553642985,0.0003251144525744279,1869.303391886002,0.6703878733846876,0.5916666799121433,0.676441322432624,0.43751534521579744,0.90390625,0.6671670317649842
7.0,40.0,3.0,67.0,0.6630485006350189,2.458473728588299e-05,2468.8063319070206,0.6870370268821716,0.552777788374159,0.676441322432624,1.0012723624706268,0.522265625,0.6581383585929871
