approach_name,label_amount,train_acc,train_f1,test_acc,test_f1,TP,FP,FN,TN
Regression_basic,3,0.811,0.787,0.771,0.832,70,5,73,193
Regression_wordnet,3,0.801,0.783,0.762,0.831,61,14,67,199
Regression_all_feats,3,0.817,0.803,0.789,0.852,62,13,59,207
Lasso_regression,3,0.836,0.831,0.848,0.897,63,12,40,226
Regression_basic,5,0.84,0.829,0.821,0.875,67,8,53,213
Regression_wordnet,5,0.806,0.79,0.771,0.838,62,13,65,201
Regression_all_feats,5,0.843,0.832,0.824,0.878,65,10,50,216
Lasso_regression,5,0.84,0.841,0.85,0.9,60,15,36,230
Regression_basic,8,0.847,0.825,0.818,0.87,72,3,59,207
Regression_wordnet,8,0.803,0.793,0.786,0.849,62,13,60,206
Regression_all_feats,8,0.85,0.844,0.83,0.885,60,15,43,223
Lasso_regression,8,0.849,0.843,0.83,0.884,63,12,46,220
Regression_basic,10,0.855,0.838,0.836,0.884,72,3,53,213
Regression_wordnet,10,0.808,0.796,0.777,0.842,62,13,63,203
Regression_all_feats,10,0.858,0.85,0.853,0.901,63,12,38,228
Lasso_regression,10,0.857,0.84,0.836,0.884,72,3,53,213
Regression_basic,15,0.86,0.852,0.85,0.896,71,4,47,219
Regression_wordnet,15,0.81,0.797,0.774,0.84,62,13,64,202
Regression_all_feats,15,0.859,0.856,0.859,0.906,63,12,36,230
Lasso_regression,15,0.862,0.854,0.85,0.896,71,4,47,219
Regression_basic,20,0.866,0.852,0.842,0.889,71,4,50,216
Regression_wordnet,20,0.812,0.799,0.789,0.852,62,13,59,207
Regression_all_feats,20,0.872,0.868,0.877,0.917,68,7,35,231
Lasso_regression,20,0.874,0.87,0.88,0.918,70,5,36,230
Regression_basic,25,0.879,0.871,0.862,0.905,70,5,42,224
Regression_wordnet,25,0.805,0.799,0.798,0.86,60,15,54,212
Regression_all_feats,25,0.88,0.872,0.862,0.905,70,5,42,224
Lasso_regression,25,0.879,0.871,0.862,0.905,70,5,42,224
Regression_basic,50,0.87,0.861,0.853,0.899,69,6,44,222
Regression_wordnet,50,0.807,0.801,0.798,0.861,59,16,53,213
Regression_all_feats,50,0.871,0.868,0.88,0.919,66,9,32,234
Lasso_regression,50,0.875,0.87,0.862,0.906,68,7,40,226
